name,price,bairro
Casa Sobrado,"2.100.000,00",Bairro: Jardim Gisela
Terreno Lote Urbano,"140.000,00",Bairro: Jardim São Francisco
Casa Padrão,"300.000,00",Bairro: São Francisco
Comercial Sala Comerc...,"
															3.500,00														",Bairro: Centro
Comercial Sala Comerc...,"
															3.000,00														",Bairro: Centro
Comercial Sala Comerc...,"
															3.000,00														",Bairro: Centro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Comercial Sala Comerc...,"
															3.500,00														",Bairro: Centro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Apartamento Padrão,"
															2.750,00														",Bairro: Jardim Coopagro
Terreno Lote Urbano,"330.000,00",Bairro: Centro
Casa Padrão,"630.000,00",Bairro: Jardim Gisela
Casa Padrão,"230.000,00",Bairro: Jardim Panorama
Casa Padrão,"230.000,00",Bairro: Jardim Panorama
Rural Chácara sem Casa,"554.900,00",Bairro: Jardim São Francisco
Terreno Lote Urbano,"800.000,00",Bairro: BIOPARK
Apartamento Padrão,"675.000,00",Bairro: Jardim Gisela
Terreno Lote Urbano,"130.000,00",Bairro: Vila Ipiranga (Distrito de Toledo)
Casa Padrão,"200.000,00",Bairro: Loteamento São Francisco/Ouro Verde
Terreno Lote Urbano,"580.000,00",Bairro: Vila Pioneiro
Casa Padrão,"350.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"149.900,00",Bairro: Novo Sobradinho (Distrito de Toledo)
Apartamento Padrão,"
															3.600,00														",Bairro: Jardim La Salle
Apartamento Padrão,"
															3.800,00														",Bairro: Jardim La Salle
Apartamento Padrão,"260.000,00",Bairro: Jardim Tocantins
Comercial Barracão,"
															7.000,00														",Bairro: Jardim Europa/America
